year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BTN,BWA,CAF,CAN,CD-KN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DDR,DE-BW,DE-BY,DE-SN,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,Gran Colombia,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,IT-52,IT-88,IT-MO,IT-PR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,Papal States,Prussia,QAT,ROU,RUS,RWA,SAU,SCG,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUN,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,Two Sicilies,UGA,UKR,URY,USA,UZB,United Province Canada,VDR,VEN,VNM,Wuerttemburg,XXK,YEM,YMD,YUG,ZA-FS,ZAF,ZMB,ZWE
1974,-7.0,,-9.0,-8.0,6.0,,10.0,10.0,,-7.0,10.0,-7.0,-4.0,-2.0,-7.0,-7.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-8.0,-9.0,-8.0,-7.0,8.0,,,10.0,-7.0,8.0,-7.0,-9.0,,,,10.0,,10.0,-3.0,-9.0,-5.0,-7.0,,-7.0,,0.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,8.0,-7.0,-7.0,1.0,-3.0,1.0,,-1.0,,-9.0,-7.0,-7.0,8.0,10.0,-10.0,-7.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,-5.0,-8.0,-8.0,-3.0,3.0,-6.0,-7.0,8.0,-7.0,,10.0,,-9.0,,-3.0,-6.0,,-7.0,-9.0,,-7.0,,-7.0,9.0,-9.0,4.0,,-7.0,-7.0,-8.0,10.0,10.0,-9.0,10.0,-10.0,8.0,-7.0,-7.0,-9.0,,-7.0,-9.0,-3.0,-8.0,,,-10.0,-7.0,,-7.0,-10.0,,-6.0,-6.0,-4.0,,-6.0,-3.0,-7.0,,,-7.0,,,,10.0,-10.0,-9.0,-8.0,-7.0,3.0,,,,4.0,-9.0,9.0,-8.0,-6.0,,-7.0,,-8.0,10.0,,,-7.0,9.0,0.0,,,-4.0,-7.0,-7.0,,4.0,-9.0,
1975,-7.0,-7.0,-9.0,-8.0,6.0,,10.0,10.0,,-7.0,10.0,-7.0,-4.0,-7.0,-7.0,-10.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-8.0,-9.0,-8.0,-7.0,8.0,-5.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,,10.0,-3.0,-9.0,-5.0,-7.0,,-3.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,8.0,-7.0,-7.0,8.0,-3.0,1.0,,-1.0,,-9.0,-7.0,-7.0,6.0,10.0,-10.0,-7.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,0.0,-8.0,-8.0,-7.0,0.0,-6.0,-7.0,8.0,-7.0,,10.0,,-9.0,,-6.0,-6.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,-7.0,-8.0,10.0,10.0,-9.0,10.0,-10.0,8.0,-7.0,-7.0,-9.0,4.0,-7.0,-9.0,3.0,-8.0,,,-10.0,-7.0,,-7.0,-10.0,,-6.0,-6.0,-4.0,,-6.0,-3.0,-7.0,,,-7.0,5.0,,,10.0,-10.0,-9.0,-7.0,-7.0,3.0,,,,4.0,-9.0,9.0,-7.0,-6.0,,-7.0,,-8.0,10.0,,,-7.0,9.0,0.0,,,-4.0,-7.0,-7.0,,4.0,-9.0,
1976,-7.0,-7.0,-9.0,-8.0,-9.0,,10.0,10.0,,-7.0,10.0,-7.0,-4.0,-7.0,-7.0,-10.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-7.0,8.0,-5.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,,10.0,-3.0,-9.0,-5.0,-6.0,,1.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,8.0,-7.0,-7.0,8.0,-3.0,1.0,,-1.0,,-9.0,-7.0,-7.0,6.0,10.0,-10.0,-7.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,-7.0,-8.0,-10.0,-7.0,0.0,-6.0,-7.0,8.0,-7.0,,10.0,,-9.0,,-6.0,-6.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,-7.0,-8.0,10.0,10.0,-9.0,10.0,-10.0,8.0,-7.0,-7.0,-9.0,4.0,-7.0,-9.0,9.0,-8.0,,,-10.0,-7.0,,-7.0,-10.0,,-6.0,-6.0,-4.0,,-6.0,-3.0,-7.0,,,-7.0,5.0,,,10.0,-10.0,-9.0,-7.0,-7.0,-7.0,,,,4.0,-9.0,9.0,-7.0,-6.0,,-7.0,,-8.0,10.0,,,-7.0,9.0,-7.0,,,-4.0,-7.0,-7.0,,4.0,-9.0,
1977,-7.0,-7.0,-9.0,-8.0,-9.0,,10.0,10.0,,-7.0,10.0,-7.0,0.0,-7.0,-7.0,-10.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-7.0,8.0,-5.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,-3.0,-9.0,-5.0,-6.0,,5.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,8.0,-7.0,-7.0,8.0,-3.0,1.0,,-1.0,,-9.0,-7.0,-7.0,8.0,10.0,-10.0,-7.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,-7.0,-8.0,-10.0,-7.0,0.0,-6.0,-7.0,8.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,-7.0,-8.0,10.0,10.0,-9.0,10.0,-10.0,-7.0,-7.0,-7.0,-9.0,4.0,-7.0,-9.0,9.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-6.0,-4.0,,-6.0,-6.0,-7.0,,,-7.0,5.0,,,10.0,-10.0,-9.0,-7.0,-7.0,-2.0,,,,4.0,-8.0,9.0,-7.0,-6.0,,-7.0,,-8.0,10.0,,,,9.0,-7.0,,,-6.0,-7.0,-7.0,,4.0,-9.0,
1978,0.0,-7.0,-9.0,-8.0,-9.0,,10.0,10.0,,-7.0,10.0,-7.0,4.0,-4.0,-7.0,-10.0,,,-4.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-7.0,8.0,0.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,-5.0,-6.0,,9.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-5.0,-9.0,8.0,-7.0,-7.0,8.0,-5.0,0.0,,-1.0,,-9.0,-7.0,-7.0,8.0,10.0,-10.0,-7.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,-7.0,-8.0,-10.0,-7.0,0.0,-6.0,-7.0,6.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,0.0,-8.0,10.0,10.0,-9.0,10.0,-10.0,-7.0,-6.0,-2.0,-9.0,4.0,-7.0,-9.0,9.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-2.0,-4.0,7.0,-7.0,-6.0,-7.0,,,-7.0,5.0,,,10.0,-10.0,-9.0,-4.0,-7.0,2.0,,,,4.0,-8.0,9.0,-7.0,-6.0,,-7.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-7.0,,4.0,-9.0,
1979,,-7.0,-9.0,-8.0,-9.0,,10.0,10.0,,-7.0,10.0,-7.0,4.0,-4.0,-7.0,-10.0,,,-4.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-8.0,8.0,0.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,9.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,5.0,-9.0,8.0,-7.0,-7.0,8.0,-5.0,0.0,,-1.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-6.0,,,-8.0,-10.0,-7.0,0.0,-6.0,-7.0,6.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,7.0,-3.0,10.0,10.0,-9.0,10.0,-10.0,-7.0,-6.0,3.0,-9.0,4.0,-7.0,-9.0,9.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-2.0,-4.0,7.0,-7.0,0.0,-7.0,,,-7.0,5.0,,,10.0,-9.0,-9.0,0.0,-7.0,2.0,,,,4.0,-8.0,9.0,-7.0,-6.0,,,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-7.0,,4.0,-9.0,
1980,,-7.0,-9.0,-8.0,-9.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-4.0,-7.0,-10.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-8.0,8.0,0.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,9.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,5.0,-9.0,8.0,-9.0,-7.0,8.0,-5.0,-7.0,,1.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,9.0,,,,,10.0,10.0,-10.0,10.0,,-6.0,,,-8.0,-10.0,-7.0,0.0,-7.0,-7.0,6.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,7.0,-3.0,10.0,10.0,-9.0,10.0,-10.0,-7.0,-6.0,7.0,-9.0,4.0,-6.0,-9.0,9.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-2.0,-4.0,7.0,-7.0,0.0,-7.0,,,-7.0,-1.0,,,10.0,-9.0,-9.0,0.0,-7.0,2.0,,,,4.0,-8.0,-5.0,-7.0,-6.0,,3.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,4.0
1981,,-7.0,-9.0,-8.0,-8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-4.0,-7.0,-10.0,,,-7.0,-4.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-8.0,-8.0,8.0,0.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,9.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,5.0,-9.0,7.0,-9.0,-7.0,8.0,-5.0,-7.0,,4.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-10.0,10.0,,-6.0,,,-5.0,-8.0,-7.0,0.0,-7.0,-7.0,6.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,9.0,-9.0,4.0,,-7.0,7.0,-5.0,10.0,10.0,-2.0,10.0,-10.0,-7.0,-6.0,7.0,-8.0,4.0,-8.0,-9.0,9.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-1.0,-4.0,7.0,-7.0,0.0,-7.0,,,-7.0,-1.0,,,10.0,-9.0,-9.0,0.0,-7.0,2.0,,,,7.0,-8.0,-5.0,-7.0,-6.0,,3.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,4.0
1982,,-7.0,-9.0,-8.0,-8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-7.0,-7.0,-10.0,,,7.0,-3.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-7.0,-7.0,-9.0,-7.0,-8.0,8.0,-3.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,7.0,-9.0,-7.0,8.0,-7.0,-7.0,,6.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,,-5.0,-8.0,-7.0,0.0,-7.0,-7.0,5.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,10.0,-9.0,4.0,,-7.0,7.0,-5.0,10.0,10.0,-2.0,10.0,-10.0,-7.0,-5.0,7.0,-7.0,4.0,-8.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-1.0,-4.0,7.0,-7.0,0.0,-7.0,,,-7.0,-6.0,,,10.0,-7.0,-9.0,0.0,-7.0,2.0,,,,7.0,-8.0,-5.0,-7.0,-6.0,,3.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,4.0
1983,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-7.0,-7.0,-10.0,,,7.0,-3.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-6.0,-7.0,-9.0,-7.0,-8.0,8.0,-3.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-7.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-9.0,7.0,-9.0,-7.0,8.0,-7.0,-7.0,,6.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-10.0,10.0,,-7.0,,,-5.0,-8.0,-7.0,0.0,-7.0,-7.0,5.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,10.0,-9.0,4.0,,-7.0,7.0,-5.0,10.0,10.0,-2.0,10.0,-10.0,-7.0,-5.0,7.0,-6.0,4.0,-7.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-1.0,-4.0,7.0,-7.0,0.0,-7.0,,,-7.0,-6.0,,,10.0,-7.0,-9.0,0.0,-7.0,2.0,,,,7.0,-8.0,7.0,-7.0,-6.0,,3.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,1.0
1984,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-7.0,-7.0,-10.0,,,7.0,-3.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-6.0,-7.0,-9.0,-9.0,-8.0,8.0,-9.0,-4.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-8.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,8.0,-6.0,-7.0,,6.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-9.0,10.0,,-7.0,,,-5.0,-8.0,-7.0,0.0,-6.0,-7.0,5.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,10.0,-9.0,4.0,,-7.0,-7.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,-7.0,-6.0,7.0,-6.0,4.0,-7.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-6.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-7.0,-6.0,,,10.0,-7.0,-9.0,0.0,-7.0,2.0,,,,7.0,-8.0,7.0,-7.0,-6.0,,3.0,,-7.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,1.0
1985,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-7.0,-7.0,-10.0,,,9.0,7.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-6.0,-7.0,-9.0,-9.0,-8.0,8.0,-9.0,-3.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-8.0,10.0,6.0,9.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,8.0,-1.0,-7.0,,5.0,,-8.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-9.0,10.0,,-7.0,,,-5.0,-8.0,-7.0,0.0,-6.0,-7.0,5.0,-7.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-8.0,-7.0,10.0,-9.0,4.0,,-7.0,-7.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,-4.0,-6.0,7.0,-6.0,4.0,-7.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,-3.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-7.0,-6.0,,,10.0,-7.0,-9.0,-7.0,-7.0,2.0,,,,7.0,-8.0,7.0,-7.0,-6.0,,0.0,,9.0,10.0,,,,9.0,-7.0,,,-6.0,-8.0,-5.0,,4.0,-9.0,1.0
1986,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-7.0,10.0,-7.0,-7.0,-5.0,-7.0,-10.0,,,9.0,7.0,-10.0,6.0,-7.0,10.0,-9.0,10.0,-6.0,-7.0,-9.0,-9.0,-8.0,8.0,-9.0,-3.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-8.0,10.0,6.0,10.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,10.0,3.0,-7.0,,5.0,,0.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-9.0,10.0,,-7.0,,,-5.0,-10.0,-7.0,0.0,-6.0,-7.0,5.0,-10.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-7.0,-7.0,10.0,-9.0,4.0,,-7.0,-7.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,-4.0,-6.0,7.0,1.0,4.0,-7.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,7.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-7.0,-6.0,,,10.0,-9.0,-9.0,-7.0,-7.0,2.0,,,,8.0,-8.0,7.0,-7.0,-6.0,,-7.0,,9.0,10.0,,,,9.0,-7.0,,,-6.0,-7.0,-5.0,,4.0,-9.0,1.0
1987,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-6.0,10.0,-7.0,-7.0,-5.0,-7.0,-10.0,,,9.0,7.0,-10.0,7.0,-7.0,10.0,-9.0,10.0,-6.0,-7.0,-9.0,-9.0,-8.0,8.0,-9.0,-3.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-8.0,10.0,-1.0,10.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,10.0,3.0,-7.0,,5.0,,0.0,-7.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-9.0,10.0,,-7.0,,,1.0,-10.0,-7.0,0.0,-6.0,-7.0,5.0,-10.0,,10.0,,-8.0,,-6.0,-3.0,,-7.0,-9.0,,-7.0,-7.0,-7.0,10.0,-9.0,4.0,,-6.0,-7.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,-4.0,-8.0,7.0,8.0,4.0,-6.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,7.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-7.0,-1.0,,,10.0,-9.0,-9.0,-7.0,-7.0,2.0,,,,8.0,-6.0,7.0,-1.0,-6.0,,-7.0,,9.0,10.0,,,,9.0,-7.0,,,-6.0,-7.0,-5.0,,4.0,-9.0,-6.0
1988,,-7.0,-9.0,-8.0,8.0,,10.0,10.0,,-6.0,10.0,-7.0,-7.0,-5.0,-7.0,-10.0,,,9.0,8.0,-10.0,7.0,-7.0,10.0,-9.0,10.0,-1.0,-7.0,-9.0,-6.0,-8.0,8.0,-9.0,-3.0,10.0,-7.0,10.0,-7.0,-9.0,,,,10.0,-8.0,10.0,5.0,-9.0,9.0,-6.0,,10.0,,-8.0,10.0,-1.0,10.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,10.0,3.0,-7.0,,5.0,,0.0,-2.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-9.0,10.0,,-7.0,,,6.0,-10.0,-7.0,0.0,-6.0,-7.0,5.0,-10.0,,10.0,,-8.0,,-6.0,0.0,,-7.0,-4.0,,-7.0,-7.0,-7.0,10.0,-9.0,4.0,,-6.0,-7.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,8.0,-8.0,7.0,8.0,4.0,-6.0,-9.0,10.0,-8.0,,,-10.0,-8.0,,-7.0,-10.0,,7.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-6.0,-1.0,,,10.0,-9.0,-9.0,-7.0,-7.0,3.0,,,,8.0,-6.0,7.0,-1.0,-6.0,,-7.0,,9.0,10.0,,,,9.0,-7.0,,,-5.0,-7.0,-5.0,,4.0,-9.0,-6.0
1989,-8.0,-7.0,-9.0,-8.0,7.0,,10.0,10.0,,-6.0,10.0,-7.0,-7.0,-5.0,1.0,-10.0,,,9.0,8.0,-10.0,7.0,-7.0,10.0,-9.0,10.0,8.0,-7.0,-9.0,-6.0,-8.0,8.0,-9.0,-3.0,10.0,-7.0,10.0,-2.0,,,,,10.0,-8.0,10.0,5.0,-2.0,9.0,-6.0,,10.0,,-8.0,10.0,-1.0,10.0,-9.0,10.0,,-7.0,-7.0,7.0,-8.0,-7.0,10.0,3.0,-7.0,,6.0,,0.0,4.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-4.0,10.0,,-7.0,,-7.0,6.0,-10.0,-7.0,0.0,-6.0,-7.0,5.0,-10.0,,10.0,,-8.0,,-6.0,0.0,,-7.0,-4.0,,-7.0,-7.0,-7.0,10.0,-9.0,4.0,,-6.0,-5.0,-1.0,10.0,10.0,-2.0,10.0,-10.0,8.0,8.0,7.0,8.0,4.0,5.0,-9.0,10.0,2.0,,,-10.0,-1.0,,-7.0,-10.0,,-7.0,-1.0,-4.0,7.0,-7.0,6.0,-7.0,,,-4.0,-1.0,,,10.0,-9.0,-9.0,-7.0,-7.0,3.0,,,,8.0,-6.0,9.0,-1.0,-6.0,,-7.0,,10.0,10.0,,,,9.0,-7.0,,,-5.0,-7.0,-5.0,,4.0,-9.0,-6.0
1990,-8.0,-7.0,1.0,-8.0,7.0,,10.0,10.0,,-6.0,10.0,-1.0,-7.0,-5.0,7.0,-10.0,,,9.0,8.0,-10.0,7.0,-7.0,10.0,-8.0,10.0,8.0,-7.0,-7.0,-3.0,-8.0,8.0,4.0,-2.0,10.0,-7.0,10.0,7.0,,,,,10.0,-8.0,10.0,5.0,-2.0,9.0,-6.0,,10.0,,-8.0,10.0,5.0,10.0,-6.0,10.0,,-7.0,-7.0,8.0,-8.0,-7.0,10.0,3.0,-7.0,,6.0,,0.0,10.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-4.0,10.0,,-7.0,,-5.0,6.0,,-7.0,,0.0,-7.0,5.0,-7.0,,10.0,,-8.0,,-6.0,0.0,,-7.0,-5.0,,2.0,-7.0,-7.0,10.0,-9.0,4.0,6.0,-4.0,-5.0,6.0,10.0,10.0,5.0,10.0,-10.0,8.0,8.0,8.0,8.0,4.0,5.0,-9.0,10.0,2.0,,,-10.0,5.0,,-7.0,-10.0,,-7.0,-1.0,-4.0,8.0,-7.0,6.0,-7.0,,,0.0,2.0,,,10.0,-9.0,-9.0,-3.0,-7.0,3.0,,,,8.0,-6.0,9.0,-1.0,-6.0,,-7.0,,10.0,10.0,,,,9.0,-7.0,,,-5.0,-7.0,-5.0,,5.0,-9.0,-6.0
1991,-8.0,-4.0,3.0,-8.0,7.0,6.0,10.0,10.0,-3.0,-6.0,10.0,6.0,-5.0,6.0,7.0,-10.0,,6.0,9.0,8.0,-10.0,7.0,-6.0,10.0,-8.0,10.0,8.0,-7.0,-7.0,-3.0,-1.0,9.0,4.0,8.0,10.0,-7.0,10.0,7.0,,,,,10.0,-8.0,10.0,5.0,-2.0,9.0,-6.0,,10.0,6.0,0.0,10.0,5.0,10.0,-4.0,10.0,3.0,-4.0,-5.0,8.0,-5.0,-7.0,10.0,3.0,-7.0,,6.0,-3.0,-7.0,10.0,-7.0,8.0,10.0,-6.0,-9.0,6.0,,,,,10.0,10.0,-4.0,10.0,-3.0,-5.0,-3.0,-3.0,6.0,-9.0,-7.0,,0.0,-7.0,5.0,-4.0,10.0,10.0,8.0,-8.0,5.0,1.0,0.0,6.0,-1.0,-5.0,,2.0,-6.0,-6.0,10.0,-9.0,4.0,6.0,-1.0,-5.0,6.0,10.0,10.0,5.0,10.0,-9.0,8.0,8.0,8.0,8.0,4.0,8.0,-9.0,10.0,2.0,,,-10.0,5.0,,-7.0,-10.0,,-7.0,-1.0,-4.0,8.0,-6.0,6.0,0.0,,,0.0,5.0,,10.0,10.0,-9.0,-9.0,-3.0,-5.0,-1.0,-2.0,-8.0,,8.0,-6.0,9.0,-1.0,-6.0,,-7.0,6.0,10.0,10.0,-9.0,,,9.0,-7.0,,,0.0,,-5.0,,5.0,6.0,-6.0
